"Product","Sport","BundlePurchased","IncludedBundles","AddOn","ProductType","DeliveryMethodFormat","DeliveryPlatform","FeedCode","FeedWidgetName","Notes","InitialDeliveryDate"
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_SOCCER_BOOKING_TYPE_CODES.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Team Logs","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_PLAYER_STATS$.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Opta","F9","Live Match Stats (team & player)","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_PLAYER_LOGS$.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","TM4","Season Stats","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_TEAM_LOGS.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","PE6","Top Performers","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","STATS XML","_BOXSCORE_GAME$.XML","N/A","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","SDAPI","MA6_auto","Automated Commentary","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
"Data Feeds","Soccer","Premium Low Latency","Premium","No","Feed","API/ Feed - Data","Stats API","N/A","Post-Game Box","","Within ten (10) business days after the date of the last signature necessary for the full execution of this Work Order, for deliveries selected by the client in writing."
